granularity,target_project,model_name,best_params,smote_k,f1_1,mcc,auc,pr_auc,fixed_family_and_hyperparameters
method,nomad,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.5671957672,0.04595378091,0.55107598,0.4344908103,True
method,packer,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.5073947668,0.03752418523,0.4385691748,0.2984730592,True
method,rclone,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.7577807848,0.1927908374,0.6706725649,0.7326303397,True
method,terraform,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.527411868,0.03178178618,0.5427199321,0.3928239528,True
method,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.4281953238,0.001990010791,0.5190059858,0.2904602049,True
method,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.4040625858,0.01431424536,0.4917431955,0.2718986894,True
method,caddy,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.6608066184,0.1376802434,0.5762403768,0.5544686898,True
method,compose,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.6555555556,0.1674874295,0.6008570805,0.5485621273,True
method,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.6997792494,0.0723002792,0.5989331723,0.6709721121,True
method,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.741956242,0.08671826311,0.6009053623,0.6598413938,True
method,gin,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.5650224215,0.0406267756,0.500400641,0.416184323,True
method,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.5551366493,0.1221230574,0.5206622092,0.3856914442,True
method,grafana,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.5110986232,0.06681863557,0.5847482521,0.4030584136,True
method,influxdb,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.7366233766,0.2701736322,0.6992459649,0.7302349731,True
method,kubernetes,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.6588511137,-0.001061244844,0.5795262405,0.6152224716,True
method,minio,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.6991916859,0.1863568591,0.6135003578,0.637286401,True
